event_time,class_name
30238,DERECHA
39446,DERECHA
48637,IZQUIERDA
57846,DERECHA
67028,IZQUIERDA
76229,IZQUIERDA
85427,DERECHA
94627,IZQUIERDA
103819,DERECHA
113009,IZQUIERDA
122209,IZQUIERDA
131400,DERECHA
140591,DERECHA
149783,IZQUIERDA
158983,IZQUIERDA
168172,IZQUIERDA
177373,DERECHA
186554,DERECHA
195745,DERECHA
204945,IZQUIERDA
